Date,buy_hold,momentum_20_100,mean_reversion_5,pead_yahoo,tradingagents_proxy,daily_stock_analysis_proxy,tradingagents_true,daily_stock_analysis_true
2024-08-26,139339.60606494517,102959.10874741679,88730.60107548907,117617.37533662589,102959.10874741679,88730.60107548907,100000.0,100000.0
2024-08-27,138377.4409633775,103204.76333248275,86689.743981197,117617.37533662589,103204.76333248275,86689.743981197,100000.0,100000.0
2024-08-28,135367.39727295222,102632.20305528416,84250.79341874243,117617.37533662589,102632.20305528416,84250.79341874243,100000.0,100000.0
2024-08-29,137358.29425948102,103271.357545824,83968.67725292518,117617.37533662589,103271.357545824,83968.67725292518,100000.0,100000.0
2024-08-30,138403.5594409111,104311.04567663756,84683.4992840104,117617.37533662589,104311.04567663756,84683.4992840104,100000.0,100000.0
2024-09-03,134169.77229587635,101622.26584623699,81860.18367250412,117617.37533662589,101622.26584623699,81860.18367250412,100000.0,100000.0
2024-09-04,133937.07642114686,101247.40470524605,82344.18762463825,117617.37533662589,101247.40470524605,82344.18762463825,100000.0,100000.0
2024-09-05,134879.42087152798,102146.7589792967,83475.049783791,117617.37533662589,102146.7589792967,83475.049783791,100000.0,100000.0
2024-09-06,130519.4574808686,99289.08785381388,80354.85644418355,117617.37533662589,99289.08785381388,80354.85644418355,100000.0,100000.0
2024-09-09,138941.42322945799,100915.23293619652,95416.26230060428,117617.37533662589,100915.23293619652,95416.26230060428,100000.0,100000.0
2024-09-10,138983.66844598498,100642.1769207434,97636.19271708229,117617.37533662589,100642.1769207434,97636.19271708229,100000.0,100000.0
2024-09-11,142484.8018590733,102002.12229035332,106484.80957283662,117617.37533662589,102002.12229035332,106484.80957283662,100000.0,100000.0
2024-09-12,145044.04665521605,103846.31288931717,108882.84265258626,117617.37533662589,103846.31288931717,108882.84265258626,100000.0,100000.0
2024-09-13,147561.1563470212,105097.72555921087,110255.65324013331,117617.37533662589,105097.72555921087,110255.65324013331,100000.0,100000.0
2024-09-16,148835.48661960056,106498.8028847434,110249.22324971958,117617.37533662589,106498.8028847434,110249.22324971958,100000.0,100000.0
2024-09-17,147947.26511575546,105492.82809695952,107227.87073554774,117617.37533662589,105492.82809695952,107227.87073554774,100000.0,100000.0
2024-09-18,148462.44445778622,105866.57598764022,107271.33939520104,117617.37533662589,105866.57598764022,107271.33939520104,100000.0,100000.0
2024-09-19,151565.7362220821,107461.02288186213,109991.1624957028,117617.37533662589,107461.02288186213,109991.1624957028,100000.0,100000.0
2024-09-20,149971.98555937293,106577.64124260991,109710.99435468494,117617.37533662589,106577.64124260991,109710.99435468494,100000.0,100000.0
2024-09-23,149425.87412371414,105940.84506006243,110652.9887919733,117617.37533662589,105940.84506006243,110652.9887919733,100000.0,100000.0
2024-09-24,149696.88862399047,105463.50093112032,109052.97941869783,117617.37533662589,105463.50093112032,109052.97941869783,100000.0,100000.0
2024-09-25,148913.82929529206,104522.15783481875,107315.26676423968,117617.37533662589,104522.15783481875,107315.26676423968,100000.0,100000.0
